query,query_camera,rank,score,match,match_camera
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound,1,0.931581,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound,2,0.911609,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound,3,0.903495,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound,4,0.883546,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Eastbound,5,0.879915,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound,1,0.939885,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound,2,0.923389,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound,3,0.913890,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound,4,0.900507,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_13",NEagleville_Hillside_2026-04-06_Eastbound,5,0.898456,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_14",NEagleville_Hillside_2026-04-06_Eastbound,1,0.851852,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_14",NEagleville_Hillside_2026-04-06_Eastbound,2,0.849268,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_14",NEagleville_Hillside_2026-04-06_Eastbound,3,0.841222,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_14",NEagleville_Hillside_2026-04-06_Eastbound,4,0.839196,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_14",NEagleville_Hillside_2026-04-06_Eastbound,5,0.831347,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,1,0.867769,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,2,0.861297,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,3,0.846454,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,4,0.836976,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_45",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,5,0.836758,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
